Seed	Shiny	Stars	Species	Level	TeraType	EC	PID	HP	ATK	DEF	SPA	SPD	SPE	Ability	Nature	Gender	Height	Weight	Scale	Move1	Move2	Move3	Move4	EventIndex	Calcs	
0029EDB5	Star	3	Mienfoo	35	Dark	22C75810	D8B97E78	14	31	31	11	7	3	Inner Focus (1)	Calm	♂	161	166	215	Force Palm	Fake Out	Knock Off	Feint	0	2747829	
002A0EC6	Square	4	Illumise	45	Fighting	22C77921	4BDAED1A	31	2	31	5	31	22	Oblivious (1)	Docile	♀	65	168	67	Bug Buzz	Giga Drain	Quick Attack	Attract	0	2756294	
002A2062	Square	4	Dipplin	45	Dragon	22C78ABD	2BAF8D6F	31	10	19	6	31	31	Gluttony (2)	Adamant	♂	120	121	155	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	2760802	
002A2724	Star	4	Hakamo-o	45	Poison	22C7917F	D1C47705	31	14	12	21	31	31	Overcoat (H)	Gentle	♀	39	175	80	Dragon Claw	Screech	Close Combat	Metal Claw	0	2762532	
002A3673	Star	5	Golem-Normal	75	Ice	22C7A0CE	E70141C0	31	31	31	9	5	31	Sturdy (2)	Rash	♀	215	219	158	Earthquake	Stone Edge	Heavy Slam	Defense Curl	0	2766451	
002A4E49	Star	4	Piloswine	45	Ground	22C7B8A4	FE535892	3	31	23	26	31	31	Thick Fat (H)	Modest	♀	128	135	250	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	2772553	
002A518D	Star	4	Ariados	45	Steel	22C7BBE8	8D822B43	6	31	31	31	9	31	Swarm (1)	Gentle	♂	110	92	154	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	2773389	
002A59D6	Star	4	Magcargo	45	Fairy	22C7C431	76C3D002	14	30	31	4	31	31	Flame Body (2)	Impish	♂	50	124	59	Flamethrower	Rock Tomb	Harden	Rock Slide	0	2775510	
002AAEBD	Star	3	Lombre	35	Water	22C81918	53BDF57C	31	12	22	27	31	31	Swift Swim (1)	Brave	♂	126	168	105	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	2797245	
002AB683	Star	5	Snorlax	75	Water	22C820DE	D48B724A	31	31	4	22	31	31	Immunity (1)	Careful	♂	139	161	222	Body Slam	Heavy Slam	Bite	Mud-Slap	0	2799235	
002AB95B	Star	4	Ariados	45	Ground	22C823B6	F15D579C	29	25	31	1	31	31	Swarm (1)	Calm	♀	180	189	146	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	2799963	
002AC701	Star	5	Politoed	75	Flying	22C8315C	39C39F02	17	1	31	31	31	31	Damp (2)	Impish	♂	143	94	113	Surf	Hyper Voice	Weather Ball	Encore	0	2803457	
002AC707	Star	5	Vikavolt	75	Flying	22C83162	003DA6FC	2	31	31	31	31	24	Levitate (1)	Rash	♂	169	192	102	Discharge	Bug Buzz	Solar Beam	Zap Cannon	0	2803463	
002AE30F	Star	3	Swadloon	35	Water	22C84D6A	4046E687	22	13	11	31	2	31	Overcoat (H)	Rash	♀	86	179	159	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	2810639	
002AEA7C	Star	5	Probopass	75	Grass	22C854D7	928A344B	31	31	31	3	31	15	Sand Force (H)	Brave	♂	161	89	162	Body Press	Power Gem	Flash Cannon	Harden	0	2812540	
002AFD64	Star	4	Carbink	45	Poison	22C867BF	EED34812	0	31	31	31	28	31	Sturdy (H)	Relaxed	-	67	198	78	Power Gem	Moonblast	Stone Edge	Light Screen	0	2817380	
002AFEF6	Star	5	Ludicolo	75	Fairy	22C86951	59F3FF32	31	4	31	6	31	31	Rain Dish (2)	Relaxed	♂	85	133	58	Energy Ball	Surf	Fake Out	Trailblaze	0	2817782	
002B1BC4	Star	4	Clefable	45	Poison	22C8861F	4B5AED9B	29	31	23	31	31	13	Cute Charm (1)	Careful	♀	158	61	65	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	2825156	
002B1EB4	Star	3	Lombre	35	Dragon	22C8890F	956833A9	31	9	19	31	14	1	Swift Swim (1)	Careful	♂	210	108	196	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	2825908	
002B33D0	Star	4	Dipplin	45	Grass	22C89E2B	7677D0B6	14	31	28	31	31	1	Supersweet Syrup (1)	Lax	♀	114	143	139	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	2831312	
002B4AEC	Star	5	Golem-Normal	75	Ghost	22C8B547	0E23A8E2	31	31	10	8	31	31	Rock Head (1)	Brave	♀	111	178	185	Earthquake	Stone Edge	Heavy Slam	Defense Curl	0	2837228	
002B8BA4	Star	4	Graveler-Normal	45	Poison	22C8F5FF	A9280FE9	31	17	16	2	31	31	Rock Head (1)	Timid	♀	212	71	112	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	2853796	
002BB854	Star	4	Graveler-Normal	45	Dragon	22C922AF	FA505C91	27	31	31	0	24	31	Sand Veil (H)	Docile	♂	128	134	177	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	2865236	
002BBA16	Star	3	Lombre	35	Fairy	22C92471	C4466287	31	31	9	16	20	21	Rain Dish (2)	Hardy	♂	118	145	29	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	2865686	
002BC316	Star	4	Clefable	45	Fairy	22C92D71	20AB866A	31	31	29	31	18	30	Magic Guard (2)	Hasty	♀	225	173	202	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	2867990	
002BD651	Star	4	Crawdaunt	45	Electric	22C940AC	CB086DC9	31	31	31	8	16	26	Shell Armor (2)	Impish	♂	209	54	115	Knock Off	Crabhammer	Aqua Jet	Taunt	0	2872913	
002BEC9A	Star	5	Mienshao	75	Rock	22C956F5	250B83CA	5	31	31	2	31	31	Regenerator (2)	Relaxed	♀	123	71	76	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	2878618	
002BFBBD	Star	3	Ekans	35	Water	22C96618	A0C40605	8	6	31	31	21	23	Unnerve (H)	Sassy	♀	130	144	46	Acid Spray	Sludge Bomb	Sucker Punch	Spite	0	2882493	
002C2045	Star	4	Furret	45	Normal	22C98AA0	9F553994	31	7	30	31	3	31	Keen Eye (2)	Sassy	♀	86	192	137	Take Down	Flamethrower	Sucker Punch	Charm	0	2891845	
002C2D6E	Star	5	Mienshao	75	Fire	22C997C9	4F98E959	31	31	12	31	31	20	Regenerator (2)	Naughty	♀	52	149	77	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	2895214	
002C4F26	Star	3	Nuzleaf	35	Fighting	22C9B981	4515E3D4	31	25	26	31	24	5	Chlorophyll (1)	Serious	♂	141	186	190	Razor Leaf	Take Down	Fake Out	Payback	0	2903846	
002C50DC	Star	4	Clefable	45	Grass	22C9BB37	16EFB02E	31	30	30	27	31	31	Cute Charm (1)	Modest	♀	191	159	60	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	2904284	
002C5BE0	Star	4	Clefable	45	Steel	22C9C63B	4055E694	31	31	31	6	15	6	Cute Charm (1)	Modest	♀	96	134	48	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	2907104	
002C850D	Star	5	Kommo-o	75	Steel	22C9EF68	6EBEC87F	31	31	12	31	31	29	Bulletproof (1)	Naughty	♂	70	148	168	Brick Break	Dragon Claw	Boomburst	Scary Face	0	2917645	
002CCEF2	Square	5	Ludicolo	75	Psychic	22CA394D	0236A4F6	31	19	31	31	31	24	Rain Dish (2)	Adamant	♀	84	89	220	Energy Ball	Surf	Fake Out	Trailblaze	0	2936562	
002CE583	Star	5	Conkeldurr	75	Steel	22CA4FDE	5A33FCF2	31	31	31	1	31	18	Sheer Force (2)	Adamant	♂	137	69	168	Hammer Arm	Stone Edge	Superpower	Scary Face	0	2942339	
002D29F6	Star	5	Snorlax	75	Fairy	22CA9451	808E264F	17	31	31	31	29	31	Gluttony (H)	Calm	♂	107	74	143	Body Slam	Heavy Slam	Bite	Mud-Slap	0	2959862	
002D2D9D	Star	5	Dusknoir	75	Water	22CA97F8	233085F1	11	31	31	5	31	31	Pressure (1)	Careful	♂	139	212	122	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	2960797	
002D46D0	Star	4	Dusclops	45	Grass	22CAB12B	72C3D402	31	8	3	31	21	31	Pressure (1)	Lax	♀	239	171	135	Shadow Punch	Will-O-Wisp	Hex	Dark Pulse	0	2967248	
002D6467	Star	4	Dusclops	45	Flying	22CACEC2	BB881D49	12	31	31	31	27	30	Pressure (1)	Lax	♂	50	148	110	Shadow Punch	Will-O-Wisp	Hex	Dark Pulse	0	2974823	
002D65B0	Star	3	Sandshrew-Normal	35	Grass	22CAD00B	D7CB710A	31	12	31	20	5	10	Sand Veil (1)	Bold	♀	117	171	23	Flail	Bulldoze	Slash	Sandstorm	0	2975152	
002D9E96	Star	4	Carbink	45	Fairy	22CB08F1	ADF80B39	27	31	31	30	7	31	Sturdy (H)	Timid	-	167	85	170	Power Gem	Moonblast	Stone Edge	Light Screen	0	2989718	
002DBB73	Star	5	Mienshao	75	Ice	22CB25CE	30CD960C	25	25	31	31	31	31	Inner Focus (1)	Bashful	♀	110	231	79	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	2997107	
002DC16B	Star	4	Leavanny	45	Bug	22CB2BC6	F20154C0	30	31	31	21	31	2	Chlorophyll (2)	Lonely	♀	228	156	159	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	2998635	
002DE0E3	Star	4	Carbink	45	Rock	22CB4B3E	3C849A45	1	31	0	31	11	31	Sturdy (H)	Docile	-	113	175	102	Power Gem	Moonblast	Stone Edge	Light Screen	0	3006691	
002DE6E1	Star	4	Dusclops	45	Poison	22CB513C	02C2A403	4	17	31	22	31	31	Frisk (H)	Impish	♂	148	91	106	Shadow Punch	Will-O-Wisp	Hex	Dark Pulse	0	3008225	
002E195B	Star	4	Ariados	45	Ground	22CB83B6	E2C54404	31	1	31	25	6	31	Swarm (1)	Sassy	♀	150	39	102	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	3021147	
002E2850	Star	4	Graveler-Normal	45	Grass	22CB92AB	E81F4EDE	27	1	31	14	31	31	Sand Veil (H)	Relaxed	♀	84	184	108	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	3024976	
002E3183	Square	5	Politoed	75	Psychic	22CB9BDE	D9767FB6	31	31	3	31	11	31	Water Absorb (1)	Lonely	♂	227	170	226	Surf	Hyper Voice	Weather Ball	Encore	0	3027331	
002E550C	Star	4	Magcargo	45	Ghost	22CBBF67	1477B2B6	29	31	5	31	19	31	Magma Armor (1)	Impish	♀	48	43	131	Flamethrower	Rock Tomb	Harden	Rock Slide	0	3036428	
002E5B18	Star	3	Gurdurr	35	Ghost	22CBC573	20C48605	31	31	25	11	7	9	Guts (1)	Impish	♂	133	69	166	Low Kick	Rock Slide	Scary Face	Slam	0	3037976	
002E5F28	Star	3	Nuzleaf	35	Poison	22CBC983	EF564997	31	27	5	16	9	31	Pickpocket (H)	Mild	♀	72	121	141	Razor Leaf	Take Down	Fake Out	Payback	0	3039016	
002E8BDB	Star	4	Clefable	45	Ground	22CBF636	6283C442	31	31	10	29	31	24	Magic Guard (2)	Careful	♀	101	201	160	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	3050459	
002EE78D	Star	3	Munchlax	35	Steel	22CC51E8	D43C72FD	29	31	5	31	4	14	Gluttony (H)	Adamant	♂	84	139	83	Bite	Covet	Flail	Defense Curl	0	3073933	
002EE92E	Star	3	Munchlax	35	Fire	22CC5389	48A6EE67	31	4	31	31	5	18	Thick Fat (2)	Naughty	♂	129	231	127	Bite	Covet	Flail	Defense Curl	0	3074350	
002F298E	Star	4	Ariados	45	Fire	22CC93E9	206586A4	31	31	16	1	31	18	Swarm (1)	Adamant	♂	33	166	94	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	3090830	
002F2A5A	Star	4	Leavanny	45	Rock	22CC94B5	F20754C6	26	31	31	25	24	31	Chlorophyll (2)	Adamant	♂	86	85	181	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	3091034	
002F3EA5	Star	3	Lombre	35	Normal	22CCA900	B5D71316	10	16	14	31	31	0	Swift Swim (1)	Rash	♀	127	97	112	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	3096229	
002F41AF	Star	3	Gurdurr	35	Water	22CCAC0A	B30B15CA	22	31	31	9	8	6	Guts (1)	Impish	♀	53	126	179	Low Kick	Rock Slide	Scary Face	Slam	0	3097007	
002F5010	Star	4	Leavanny	45	Grass	22CCBA6B	26FF803E	28	31	31	30	31	20	Overcoat (H)	Bashful	♀	226	87	131	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	3100688	
002F5F09	Star	5	Probopass	75	Ground	22CCC964	0392A553	31	31	31	21	31	31	Magnet Pull (2)	Lax	♀	94	97	72	Body Press	Power Gem	Flash Cannon	Harden	0	3104521	
002F6D00	Star	5	Mienshao	75	Fairy	22CCD75B	5F50F991	31	31	31	31	7	2	Inner Focus (1)	Brave	♀	62	110	152	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	3108096	
002F6D77	Star	5	Mienshao	75	Dark	22CCD7D2	83B52574	31	31	25	31	28	31	Inner Focus (1)	Timid	♀	149	169	118	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	3108215	
002FA931	Star	3	Munchlax	35	Electric	22CD138C	C4836242	28	31	16	1	7	31	Pickup (1)	Gentle	♂	31	194	135	Bite	Covet	Flail	Defense Curl	0	3123505	
0030131E	Star	4	Magcargo	45	Fire	22CD7D79	4965EFA4	21	6	31	31	31	31	Magma Armor (1)	Gentle	♀	184	184	131	Flamethrower	Rock Tomb	Harden	Rock Slide	0	3150622	
00301913	Star	3	Chingling	35	Ice	22CD836E	42B0E471	4	1	22	31	31	31	Levitate (1)	Naive	♂	131	89	11	Confusion	Yawn	Last Resort	Uproar	0	3152147	
00309797	Star	4	Crawdaunt	45	Dark	22CE01F2	C66F60AE	31	31	2	31	18	31	Adaptability (H)	Naughty	♂	149	196	34	Knock Off	Crabhammer	Aqua Jet	Taunt	0	3184535	
0030A7C8	Star	4	Ribombee	45	Poison	22CE1223	F0435682	18	14	31	31	31	10	Honey Gather (1)	Bold	♂	176	116	147	Pollen Puff	Moonblast	Bug Buzz	Stun Spore	0	3188680	
0030AADD	Star	4	Dipplin	45	Water	22CE1538	0B0FADCE	31	21	10	6	31	31	Sticky Hold (H)	Adamant	♀	194	37	170	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	3189469	
003100FF	Star	5	Victreebel	75	Steel	22CE6B5A	FA1F5CDE	31	31	31	31	31	18	Chlorophyll (1)	Hasty	♀	164	123	228	Sludge Bomb	Power Whip	Acid Spray	Trailblaze	0	3211519	
00310901	Star	5	Snorlax	75	Ice	22CE735C	6C9FCA5E	31	31	31	5	31	26	Thick Fat (2)	Modest	♂	149	91	139	Body Slam	Heavy Slam	Bite	Mud-Slap	0	3213569	
0031361E	Star	4	Graveler-Normal	45	Fire	22CEA079	57E8F129	27	28	31	31	21	31	Rock Head (1)	Mild	♀	139	151	129	Stomping Tantrum	Rock Slide	Rock Tomb	Take Down	0	3225118	
0031648A	Star	3	Noctowl	35	Rock	22CECEE5	AF540995	18	31	27	25	31	27	Insomnia (1)	Brave	♀	189	104	127	Dual Wingbeat	Extrasensory	Air Slash	Reflect	0	3237002	
0031C6C5	Star	4	Crawdaunt	45	Normal	22CF3120	29BA8F7B	31	31	18	31	30	27	Adaptability (H)	Impish	♂	128	55	51	Knock Off	Crabhammer	Aqua Jet	Taunt	0	3262149	
0031CC74	Star	5	Dusknoir	75	Dragon	22CF36CF	FD1C5BDD	31	31	31	5	31	15	Pressure (1)	Relaxed	♂	136	9	82	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	3263604	
0031D4ED	Star	5	Ludicolo	75	Steel	22CF3F48	4595E354	31	31	31	0	9	31	Own Tempo (H)	Relaxed	♂	76	170	109	Energy Ball	Surf	Fake Out	Trailblaze	0	3265773	
0031DB8F	Star	3	Chingling	35	Water	22CF45EA	FDDA5B1B	6	19	3	31	31	2	Levitate (1)	Adamant	♀	98	115	140	Confusion	Yawn	Last Resort	Uproar	0	3267471	
0031F9DB	Star	4	Magcargo	45	Ground	22CF6436	164CB08D	31	1	31	31	17	10	Flame Body (2)	Quiet	♀	174	70	81	Flamethrower	Rock Tomb	Harden	Rock Slide	0	3275227	
00324AE1	Star	4	Ariados	45	Ghost	22CFB53C	1714B1D5	27	31	31	17	31	31	Insomnia (2)	Bashful	♂	174	27	166	Bug Bite	X-Scissor	Poison Jab	Shadow Sneak	0	3295969	
00326546	Star	4	Dipplin	45	Fighting	22CFCFA1	913E37FF	31	10	11	31	25	31	Supersweet Syrup (1)	Impish	♀	186	162	94	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	3302726	
00327EFF	Star	5	Ludicolo	75	Steel	22CFE95A	32F59434	27	31	31	31	9	31	Own Tempo (H)	Calm	♀	208	145	130	Energy Ball	Surf	Fake Out	Trailblaze	0	3309311	
0032A579	Star	5	Mienshao	75	Bug	22D00FD4	7ADEDC1F	31	13	31	31	31	28	Inner Focus (1)	Careful	♀	209	141	36	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	3319161	
0032A91C	Star	4	Clefable	45	Grass	22D01377	CC766AB7	22	23	31	31	7	31	Cute Charm (1)	Gentle	♀	241	121	172	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	3320092	
0032BD6C	Star	5	Mienshao	75	Ghost	22D027C7	87EA212B	31	31	12	31	30	31	Reckless (H)	Mild	♂	140	187	104	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	3325292	
0032C70E	Star	3	Mienfoo	35	Fire	22D03169	6CCBCA0A	31	17	17	12	18	31	Inner Focus (1)	Calm	♂	165	176	103	Force Palm	Fake Out	Knock Off	Feint	0	3327758	
0032DC0C	Star	4	Mightyena	45	Ghost	22D04667	68EACE2B	9	28	31	31	31	31	Intimidate (1)	Naive	♀	178	156	155	Crunch	Play Rough	Howl	Take Down	0	3333132	
0032E8DE	Square	4	Furret	45	Fire	22D05339	0D05ABC5	31	22	15	31	31	19	Run Away (1)	Impish	♂	49	192	128	Take Down	Flamethrower	Sucker Punch	Charm	0	3336414	
003339E1	Star	4	Piloswine	45	Fairy	22D0A43C	07D7A116	28	31	31	31	17	17	Snow Cloak (2)	Naughty	♂	167	156	123	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	3357153	
00333BAF	Star	3	Ekans	35	Water	22D0A60A	D1C07701	18	26	31	26	24	31	Shed Skin (2)	Timid	♀	164	29	200	Acid Spray	Sludge Bomb	Sucker Punch	Spite	0	3357615	
00334E86	Star	5	Ludicolo	75	Fighting	22D0B8E1	E4524293	20	31	31	31	0	31	Swift Swim (1)	Naive	♀	201	166	151	Energy Ball	Surf	Fake Out	Trailblaze	0	3362438	
00335180	Star	5	Snorlax	75	Dark	22D0BBDB	E4F94238	31	0	14	31	31	31	Thick Fat (2)	Relaxed	♂	184	18	123	Body Slam	Heavy Slam	Bite	Mud-Slap	0	3363200	
00338F74	Star	5	Shiftry	75	Dragon	22D0F9CF	7606D0C7	16	30	31	31	31	31	Chlorophyll (1)	Careful	♀	152	173	37	Fake Out	Sucker Punch	Leaf Blade	Extrasensory	0	3379060	
00339431	Star	3	Mienfoo	35	Electric	22D0FE8C	0DA4AB65	31	31	0	20	14	1	Regenerator (2)	Impish	♀	110	124	43	Force Palm	Fake Out	Knock Off	Feint	0	3380273	
0033E81A	Star	4	Leavanny	45	Rock	22D15275	DD037BC2	4	31	22	25	31	31	Overcoat (H)	Calm	♂	167	178	84	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	3401754	
0033FA1E	Star	3	Swadloon	35	Fire	22D16479	DD417B80	30	5	7	31	15	31	Chlorophyll (2)	Relaxed	♀	44	231	123	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	3406366	
00344631	Star	3	Lombre	35	Electric	22D1B08C	88772EB6	31	31	23	13	3	20	Own Tempo (H)	Quirky	♂	142	202	157	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	3425841	
0034600D	Star	5	Snorlax	75	Steel	22D1CA68	0622A0E3	31	31	19	31	31	16	Immunity (1)	Quirky	♂	29	135	189	Body Slam	Heavy Slam	Bite	Mud-Slap	0	3432461	
00346A95	Star	4	Hakamo-o	45	Dark	22D1D4F0	6068C6A9	23	31	20	31	5	31	Soundproof (2)	Hardy	♀	175	186	92	Dragon Claw	Screech	Close Combat	Metal Claw	0	3435157	
0034BDB3	Star	3	Mienfoo	35	Ice	22D2280E	DBCC7D0D	24	24	31	31	2	19	Regenerator (2)	Hardy	♀	188	153	49	Force Palm	Fake Out	Knock Off	Feint	0	3456435	
00351771	Star	5	Kommo-o	75	Electric	22D281CC	51B6F777	28	6	31	31	31	31	Overcoat (H)	Calm	♀	117	148	111	Brick Break	Dragon Claw	Boomburst	Scary Face	0	3479409	
00351972	Star	5	Golem-Normal	75	Psychic	22D283CD	AE7808B9	31	9	11	31	31	31	Sand Veil (H)	Hardy	♂	204	121	98	Earthquake	Stone Edge	Heavy Slam	Defense Curl	0	3479922	
003523D2	Star	4	Dipplin	45	Psychic	22D28E2D	0CA9AA68	31	31	17	29	13	31	Supersweet Syrup (1)	Jolly	♀	155	184	82	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	3482578	
003529D7	Star	4	Magcargo	45	Dark	22D29432	01EBA72A	7	31	31	4	31	10	Weak Armor (H)	Brave	♀	191	190	127	Flamethrower	Rock Tomb	Harden	Rock Slide	0	3484119	
0035383F	Star	3	Sandshrew-Normal	35	Steel	22D2A29A	5CC8FA09	31	22	3	31	24	18	Sand Rush (H)	Naive	♀	122	185	120	Flail	Bulldoze	Slash	Sandstorm	0	3487807	
00354F27	Star	3	Nuzleaf	35	Flying	22D2B982	5A0DFCCC	26	26	3	24	31	31	Early Bird (2)	Naughty	♀	133	66	26	Razor Leaf	Take Down	Fake Out	Payback	0	3493671	
00355F8D	Star	4	Illumise	45	Steel	22D2C9E8	F1EC572D	31	9	14	10	31	31	Oblivious (1)	Timid	♀	69	45	174	Bug Buzz	Giga Drain	Quick Attack	Attract	0	3497869	
0035762B	Star	3	Chingling	35	Bug	22D2E086	5A1BFCDA	31	23	26	17	31	1	Levitate (1)	Adamant	♀	184	4	140	Confusion	Yawn	Last Resort	Uproar	0	3503659	
00357B2F	Star	3	Clefairy	35	Water	22D2E58A	49FEEF3F	31	27	31	30	31	31	Magic Guard (2)	Gentle	♀	78	99	82	Meteor Mash	Dazzling Gleam	Encore	Charm	0	3504943	
00358060	Star	4	Hakamo-o	45	Poison	22D2EABB	9E3938F8	31	5	22	31	27	31	Soundproof (2)	Modest	♂	124	141	40	Dragon Claw	Screech	Close Combat	Metal Claw	0	3506272	
00358932	Star	3	Munchlax	35	Psychic	22D2F38D	203E86FF	4	5	20	20	31	31	Pickup (1)	Naughty	♂	190	111	121	Bite	Covet	Flail	Defense Curl	0	3508530	
00358E33	Star	3	Noctowl	35	Ice	22D2F88E	231F85DE	12	31	21	2	31	24	Tinted Lens (H)	Bold	♂	99	179	116	Dual Wingbeat	Extrasensory	Air Slash	Reflect	0	3509811	
0036166E	Star	5	Probopass	75	Fire	22D380C9	5281F440	31	31	31	31	11	12	Sturdy (1)	Adamant	♂	143	170	186	Body Press	Power Gem	Flash Cannon	Harden	0	3544686	
00363D0C	Star	4	Mightyena	45	Ghost	22D3A767	367A90BB	31	31	5	27	31	9	Quick Feet (2)	Naughty	♂	152	104	61	Crunch	Play Rough	Howl	Take Down	0	3554572	
00366DDF	Star	4	Carbink	45	Steel	22D3D83A	043BA2FA	12	12	31	4	31	31	Clear Body (1)	Careful	-	61	114	223	Power Gem	Moonblast	Stone Edge	Light Screen	0	3567071	
003679D8	Star	4	Magcargo	45	Ghost	22D3E433	03B8A579	31	31	20	2	4	31	Magma Armor (1)	Quiet	♀	141	103	138	Flamethrower	Rock Tomb	Harden	Rock Slide	0	3570136	
003690E6	Star	4	Crawdaunt	45	Fighting	22D3FB41	C5486389	31	31	8	31	9	18	Adaptability (H)	Modest	♀	164	128	172	Knock Off	Crabhammer	Aqua Jet	Taunt	0	3576038	
0036A20A	Star	4	Piloswine	45	Rock	22D40C65	BC271AE6	31	31	14	31	31	22	Snow Cloak (2)	Sassy	♀	84	130	175	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	3580426	
0036E04B	Star	4	Carbink	45	Bug	22D44AA6	FE2658E7	10	31	18	31	31	9	Sturdy (H)	Gentle	-	188	94	54	Power Gem	Moonblast	Stone Edge	Light Screen	0	3596363	
0036E120	Star	4	Furret	45	Normal	22D44B7B	1AB4BC75	31	31	31	29	5	31	Frisk (H)	Rash	♂	136	129	77	Take Down	Flamethrower	Sucker Punch	Charm	0	3596576	
0036E548	Star	4	Clefable	45	Poison	22D44FA3	F9495F88	21	31	31	22	31	15	Cute Charm (1)	Naive	♂	146	128	33	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	3597640	
0036F7E3	Star	4	Clefable	45	Grass	22D4623E	0D1BABDA	31	31	16	31	6	7	Unaware (H)	Sassy	♂	139	116	81	Dazzling Gleam	Psychic	Misty Terrain	Meteor Mash	0	3602403	
0036FD19	Star	4	Furret	45	Bug	22D46774	BA031CC2	22	0	31	31	31	7	Run Away (1)	Mild	♂	75	152	129	Take Down	Flamethrower	Sucker Punch	Charm	0	3603737	
00372821	Star	3	Clefairy	35	Dark	22D4927C	969D305C	31	31	13	0	9	9	Magic Guard (2)	Rash	♀	181	121	162	Meteor Mash	Dazzling Gleam	Encore	Charm	0	3614753	
00374562	Square	4	Magcargo	45	Normal	22D4AFBD	ED404B80	29	10	24	31	31	31	Weak Armor (H)	Quiet	♂	74	79	173	Flamethrower	Rock Tomb	Harden	Rock Slide	0	3622242	
00375D2B	Star	3	Swadloon	35	Bug	22D4C786	867C20BD	31	31	6	14	22	17	Chlorophyll (2)	Calm	♂	144	132	205	Struggle Bug	Razor Leaf	String Shot	Bug Bite	0	3628331	
00375F25	Star	3	Nuzleaf	35	Normal	22D4C980	904B368A	31	13	0	25	21	31	Chlorophyll (1)	Quiet	♂	117	51	180	Razor Leaf	Take Down	Fake Out	Payback	0	3628837	
003765C6	Star	4	Dipplin	45	Fighting	22D4D021	7135D7F4	28	31	31	31	3	10	Gluttony (2)	Impish	♂	135	107	133	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	3630534	
00377FCB	Star	4	Dusclops	45	Bug	22D4EA26	6464C2A5	31	17	28	31	20	31	Pressure (1)	Hasty	♂	105	26	136	Shadow Punch	Will-O-Wisp	Hex	Dark Pulse	0	3637195	
0037880B	Star	4	Leavanny	45	Bug	22D4F266	4282E443	31	23	31	23	5	31	Swarm (1)	Bold	♀	100	87	170	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	3639307	
0037B083	Star	5	Shiftry	75	Fighting	22D51ADE	B57C13BD	31	31	6	31	31	30	Pickpocket (H)	Naughty	♀	142	134	153	Fake Out	Sucker Punch	Leaf Blade	Extrasensory	0	3649667	
0037D5A2	Star	3	Ekans	35	Bug	22D53FFD	0887AE46	7	31	31	20	3	15	Intimidate (1)	Naive	♀	15	173	57	Acid Spray	Sludge Bomb	Sucker Punch	Spite	0	3659170	
00385266	Star	4	Hakamo-o	45	Fighting	22D5BCC1	E1B64777	31	31	27	31	8	11	Overcoat (H)	Adamant	♀	92	136	140	Dragon Claw	Screech	Close Combat	Metal Claw	0	3691110	
003855FF	Star	5	Snorlax	75	Steel	22D5C05A	0FA0A961	31	31	31	31	1	20	Gluttony (H)	Timid	♂	169	174	158	Body Slam	Heavy Slam	Bite	Mud-Slap	0	3692031	
